STATE,COUNTYNAME,COUNTY,ALR_VALB,ALR_VALP,ALR_VALA
1,autauga,1001,0.000308736898972,3.85293556e-6,0.002882681188613
1,baldwin,1003,0.0039763791739,6.410576763e-6,0.014643223111405
1,barbour,1005,0.000483667039196,5.920281763e-6,0.005308763135789
1,bibb,1007,0.000456736145915,6.663100205e-6,0.001817752939718
1,blount,1009,0.00042888237315,7.372890362e-6,0.000401962745472
1,bullock,1011,0.00054130085428,6.623533759e-6,0.015198049426369
1,butler,1013,0.000992063732608,6.896764635e-6,0.004345037482424
1,calhoun,1015,0.000403975708606,9.153788736e-6,0.000955141790468
1,chambers,1017,0.000379759306031,3.177654847e-6,0.004563502448711
1,cherokee,1019,0.000345087638641,9.313021902e-6,0.000918925470939
1,chilton,1021,0.000392578634476,6.732467336e-6,0.001649751598252
1,choctaw,1023,0.001450458301984,9.54644562e-6,0.0058351113323
1,clarke,1025,0.001828164629868,5.706792354e-6,0.008775920639639
1,clay,1027,0.000437751495475,5.918607816e-6,0.001284550772027
1,cleburne,1029,0.000480691795798,6.587882909e-6,0.000939587134011
1,coffee,1031,0.001197953149143,6.2012958e-6,0.009881842545896
1,colbert,1033,0.000471937517762,8.805344465e-6,0.000798918944634
1,conecuh,1035,0.001521909250878,6.528981476e-6,0.008418377172622
1,coosa,1037,0.000321789271659,3.862385409e-6,0.002879723506046
1,covington,1039,0.003812463328615,8.378246734e-6,0.00857461487197
1,crenshaw,1041,0.001036805113267,6.570149621e-6,0.004213006893137
1,cullman,1043,0.000411156662332,3.139732031e-6,0.001477830378187
1,dale,1045,0.001094529052142,5.928487916e-6,0.009378902743533
1,dallas,1047,0.000434443577602,5.607456789e-6,0.004075537741136
1,dekalb,1049,0.000274246844155,5.78200034e-6,0.001100627261989
1,elmore,1051,0.000291026336518,3.360622635e-6,0.003379742689785
1,escambia,1053,0.004692954892156,1.1045387912e-5,0.014081735084589
1,etowah,1055,0.000504709829804,8.623904984e-6,0.000695225365294
1,fayette,1057,0.000540394191244,5.081104823e-6,0.001408071903463
1,franklin,1059,0.000502803505611,1.3209756784e-5,0.000699129645575
1,geneva,1061,0.001161811108207,3.492782131e-6,0.009619602683073
1,greene,1063,0.000659663694681,7.072779e-6,0.002484410927886
1,hale,1065,0.000533999449326,6.659828422e-6,0.002107911808235
1,henry,1067,0.000858281398217,6.915676781e-6,0.008471005079098
1,houston,1069,0.001202739929344,6.710947119e-6,0.014841979134617
1,jackson,1071,0.000436782436727,7.671340954e-6,0.002275359424274
1,jefferson,1073,0.000690228480757,3.561781161e-6,0.001209910176249
1,lamar,1075,0.000543737387055,8.902966068e-6,0.003164779603749
1,lauderdale,1077,0.000380973162948,7.726391592e-6,0.000769178942103
1,lawrence,1079,0.000381306850733,1.340592624e-5,0.000821443374844
1,lee,1081,0.000216066789268,2.387948992e-6,0.004764228743871
1,limestone,1083,0.000391964802069,5.359478598e-6,0.002592728334099
1,lowndes,1085,0.000326049215051,1.0012067981e-5,0.004115617250575
1,macon,1087,0.0004354748904,2.700156232e-6,0.004788487629739
1,madison,1089,0.000340914459982,5.842645705e-6,0.001205978324122
1,marengo,1091,0.000672233274773,6.700745712e-6,0.004785150673952
1,marion,1093,0.000572148535971,8.659093722e-6,0.000691743201492
1,marshall,1095,0.000489983313349,1.0556960817e-5,0.001322060436419
1,mobile,1097,0.003117879380088,7.474006688e-6,0.016630435125852
1,monroe,1099,0.001325574539108,4.170941447e-6,0.007726604655141
1,montgomery,1101,0.000269374462496,4.476373851e-6,0.002945166183644
1,morgan,1103,0.000489528543395,1.3407327672e-5,0.001410836554942
1,perry,1105,0.000530871537477,5.526214669e-6,0.002458469931673
1,pickens,1107,0.000577911365986,7.24705369e-6,0.002142532645633
1,pike,1109,0.000818563603616,3.338562458e-6,0.006704785773797
1,randolph,1111,0.000422391902978,3.456581897e-6,0.001222572303974
1,russell,1113,0.000166982049641,2.71668121e-6,0.010284868939531
1,st. clair,1115,0.00036751613806,6.493401335e-6,0.000614342048921
1,shelby,1117,0.000416956844404,7.23996241e-6,0.002213308919924
1,sumter,1119,0.000850572240782,9.323882135e-6,0.004186967608193
1,talladega,1121,0.000392564523553,4.116491234e-6,0.002092576175387
1,tallapoosa,1123,0.000332106023013,3.589526238e-6,0.002465376560765
1,tuscaloosa,1125,0.000390718955469,5.802305221e-6,0.001667999898988
1,walker,1127,0.000519082151909,5.973956086e-6,0.000478633624052
1,washington,1129,0.002167997327797,7.88770683e-6,0.009299553122538
1,wilcox,1131,0.00056990607721,4.769188049e-6,0.005288251474595
1,winston,1133,0.000446494593191,6.414434429e-6,0.000735604353377
2,aleutians east,2013,0.000859082663653,4.296714052e-6,0.0
2,aleutians west,2016,0.001469122233847,8.689505002e-6,0.0
2,anchorage,2020,0.000930502580948,5.48999749e-6,1.2386701481e-5
2,bethel,2050,0.000331965002042,2.549806942e-6,0.0
2,bristol bay,2060,0.000129084509311,8.54611939e-7,0.0
